Substance,Type,Valore,Context
Dimethenamid-ESA,LD50 >,5000.0 mg/kg bw/day,2018 oral: unspecified Rat acute toxicity mortality systemic;
Dimethenamid-ESA,NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-ESA,NOAEL '=,341.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity organ weights reproductive;
Dimethenamid-ESA,NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-OXA,LD50 >,5000.0 mg/kg bw,2018 oral: unspecified Rat acute toxicity mortality systemic;
Dimethenamid-OXA,NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-OXA,NOAEL '=,357.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity organ weights hepatotoxicity;
Dimethenamid-OXA,NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P,NOAEL '=,25.0 mg/kg bw/day,2012 Not reported Rat acute toxicity not reported not reported;
Dimethenamid-P,LD50 '=,1068.0 mg/kg bw/day,2018 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethenamid-P,LD50 '=,93.8 µg/piece,2018 dermal Honey bee acute toxicity mortality;
Dimethenamid-P,LD50 '=,118.8 µg/piece,2018 oral: unspecified Honey bee acute toxicity mortality;
Dimethenamid-P,LD50 '=,466.0 mg/kg bw/day,2018 oral: unspecified Rat acute toxicity mortality systemic;
Dimethenamid-P,NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P,NOAEL '=,114.0 mg/kg bw/day,2018 Not reported Bobwhite quail reproduction toxicity not reported not reported;
Dimethenamid-P,NOAEL '=,25.0 mg/kg bw/day,2018 Not reported Rat reproduction toxicity development developmental;
Dimethenamid-P,NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656H026),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656H026),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH003),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH003),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH011),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH011),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH030),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH030),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH031),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH031),NOAEL '=,1068.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity no adverse effect observed at single/highest dose;
Dimethenamid-P metabolite (M656PH031),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH032),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH032),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH040),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH040),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH045),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH045),NOAEL '=,1174.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity no adverse effect observed at single/highest dose;
Dimethenamid-P metabolite (M656PH045),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH047),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH047),NOAEL '=,967.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity no adverse effect observed at single/highest dose;
Dimethenamid-P metabolite (M656PH047),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH054),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH054),NOAEL '=,346.0 mg/kg bw/day,2018 Not reported Rat short-term toxicity food consumption systemic;
Dimethenamid-P metabolite (M656PH054),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH062),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH062),NOAEL '=,103.0 mg/kg bw/day,2018 Not reported Rat reproduction toxicity histopathology non neoplastic hepatotoxicity;
Dimethenamid-P metabolite (M656PH062),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH081),NOAEL '=,5.0 mg/kg bw/day,2018 Not reported Rat chronic/long term toxicity organ weights hepatotoxicity;
Dimethenamid-P metabolite (M656PH081),NOAEL '=,4.3 mg/kg bw/day,2018 dermal Dog subchronic organ weights hepatotoxicity;
Dimethipin,NOAEL '=,20.0 mg/kg bw/day,2012 Not reported Rabbit reproduction toxicity not reported not reported;
Dimethoate,LD50 '=,10.5 mg/kg bw,2006 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethoate,LD50 '=,14.1 mg/kg bw,2006 oral: unspecified Common pheasant acute toxicity mortality systemic;
Dimethoate,LD50 '=,0.1 µg/piece,2006 oral: unspecified Honey bee acute toxicity mortality;
Dimethoate,LD50 '=,160.0 mg/kg bw,2006 oral: unspecified Mouse acute toxicity mortality systemic;
Dimethoate,NOAEL '=,1.0 mg/kg bw/day,2006 Not reported Rat acute toxicity clinical chemistry neurotoxicity;
Dimethoate,NOAEL '=,0.1 mg/kg bw/day,2006 Not reported Rat reproduction toxicity development developmental;
Dimethoate,NOAEL '=,0.1 mg/kg bw/day,2006 Not reported Rat reproduction toxicity neurology developmental;
Dimethoate,LD50 '=,30.9 mg/kg bw,2013 oral: unspecified Bird acute toxicity mortality systemic;
Dimethoate,LD50 '=,10.5 mg/kg bw,2013 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethoate,LD50 '=,14.1 mg/kg bw,2013 oral: unspecified Common pheasant acute toxicity mortality systemic;
Dimethoate,NOAEL '=,1.0 mg/kg bw/day,2013 Not reported Rat acute toxicity clinical chemistry neurotoxicity;
Dimethoate,NOAEL '=,0.04 mg/kg bw/day,2013 Not reported Rat chronic/long term toxicity clinical chemistry neurotoxicity;
Dimethoate,NOAEL '=,0.1 mg/kg bw/day,2013 Not reported Rat reproduction toxicity development developmental;
Dimethoate,NOAEL '=,0.2 mg/kg bw/day,2013 Not reported Rat reproduction toxicity clinical chemistry neurotoxicity;
Dimethoate,NOAEL '=,0.06 mg/kg bw/day,2013 oral: feed Rat subchronic clinical chemistry neurotoxicity;
Dimethomorph,LD50 '=,3900.0 mg/kg bw,2006 oral: unspecified Bird acute toxicity mortality systemic;
Dimethomorph,LD50 >,2000.0 mg/kg,2006 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethomorph,LD50 >,32.4 µg/piece,2006 oral: unspecified Honey bee acute toxicity mortality;
Dimethomorph,LD50 >,2000.0 mg/kg,2006 oral: unspecified Mallard duck acute toxicity mortality systemic;
Dimethomorph,LD50 >,728.3 mg/kg bw/day,2006 oral: feed Bobwhite quail short-term toxicity mortality systemic;
Dimethomorph,LD50 >,937.5 mg/kg bw/day,2006 oral: feed Mallard duck short-term toxicity mortality systemic;
Dimethomorph,NOAEL '=,4.9 mg/kg bw/day,2006 oral: unspecified Dog chronic/long term toxicity organ weights systemic;
Dimethomorph,NOAEL '=,60.0 mg/kg bw/day,2006 Not reported Rat reproduction toxicity development teratogenic;
Dimethomorph,NOAEL '=,15.0 mg/kg bw/day,2006 oral: unspecified Dog subchronic organ weights systemic;
Dimethomorph,NOAEL '=,16.0 mg/kg bw/day,2006 oral: unspecified Rat subchronic not reported hepatotoxicity;
Dimethomorph formulation (FORUM 150 DC CF 07460),LD50 '=,1243.0 mg/kg bw,2006 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethomorph formulation (FORUM 150 DC CF 07460),LD50 '=,900.0 mg/kg bw,2006 oral: unspecified Mammalian cell line acute toxicity mortality systemic;
Dimethyl disulfide,LD50 '=,342.0 mg/kg,2019 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimethyl disulfide,LD50 >,100.0 µg/piece,2019 dermal Honey bee acute toxicity mortality;
Dimethyl disulfide,LD50 >,125.0 mg/kg,2019 oral: unspecified Rat acute toxicity mortality systemic;
Dimethyl polysiloxane (E 900),NOAEL '=,1742.0 mg/kg bw/day,2020 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2011 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2011 Not reported Unspecified subchronic not reported not reported;
Dimethyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
Dimethyl tetrasulfide,NOAEL '=,0.232 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Dimoxystrobin,LD50 >,2000.0 mg/kg bw,2005 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dimoxystrobin,LD50 >,100.0 µg/piece,2005 dermal Honey bee acute toxicity mortality;
Dimoxystrobin,LD50 >,79.4 µg/piece,2005 oral: unspecified Honey bee acute toxicity mortality;
Dimoxystrobin,LD50 '=,188.9 mg/kg bw,2005 oral: unspecified Rat acute toxicity mortality systemic;
Dimoxystrobin,LD50 >,5000.0 mg/kg bw,2005 oral: unspecified Rat acute toxicity mortality systemic;
Dimoxystrobin,NOAEL '=,4.0 mg/kg bw/day,2005 Not reported Mouse chronic/long term toxicity body weight systemic;
Dimoxystrobin,NOAEL '=,4.0 mg/kg bw/day,2005 Not reported Rat short-term toxicity clinical chemistry systemic;
Diniconazole-M,NOAEL '=,5.0 mg/kg bw/day,2009 Not reported Rat chronic/long term toxicity histopathology non neoplastic hepatotoxicity;
Diniconazole-M,NOAEL '=,5.0 mg/kg bw/day,2009 Not reported Rat reproduction toxicity development teratogenic;
Diniconazole-M,NOAEL '=,5.0 mg/kg bw/day,2012 Not reported Rat reproduction toxicity not reported not reported;
Dinocap,NOAEL '=,0.4 mg/kg bw/day,2004 oral: unspecified Dog chronic/long term toxicity ophthalmoscopic examination;
Dinocap,NOAEL '=,3.0 mg/kg bw/day,2004 oral: unspecified Rabbit reproduction toxicity not reported not reported;
Dinocap,LD50 >,2150.0 mg/kg bw/day,2014 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dinocap,LD50 '=,367.3 mg/kg bw/day,2014 oral: feed Mallard duck short-term toxicity mortality systemic;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2011 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Dipentyl sulfide,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
Diphenyl ether,NOAEL '=,15.0 mg/kg bw/day,2012 oral: unspecified Rat subchronic body weight systemic;
Diphenylamine,LD50 >,2250.0 mg/kg bw/day,2009 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Diphenylamine,NOAEL '=,10.0 mg/kg bw/day,2009 oral: unspecified Dog chronic/long term toxicity haematology hemopoietic;
Diphenylamine,NOAEL '=,7.5 mg/kg bw/day,2009 Not reported Rat chronic/long term toxicity haematology hemopoietic;
Diphenylamine,NOAEL '=,10.0 mg/kg bw/day,2009 oral: unspecified Dog subchronic haematology hemopoietic;
Diphenylamine,NOAEL '=,9.6 mg/kg bw/day,2009 oral: unspecified Rat subchronic haematology hemopoietic;
Diphenylamine,LD50 >,2250.0 mg/kg bw/day,2012 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Diphenylamine,NOAEL '=,10.0 mg/kg bw/day,2012 oral: unspecified Dog chronic/long term toxicity clinical chemistry hemopoietic;
Diphenylamine,NOAEL '=,7.5 mg/kg bw/day,2012 Not reported Rat chronic/long term toxicity haematology hemopoietic;
Diphenylamine,NOAEL '=,10.0 mg/kg bw/day,2012 oral: unspecified Dog subchronic clinical chemistry hemopoietic;
Diphenylamine,NOAEL '=,9.6 mg/kg bw/day,2012 oral: unspecified Rat subchronic clinical chemistry hemopoietic;
Diphenylamine formulation (NoScald DPA 31 EC (ATO BAFBC03)),LD50 '=,15000.0 mg/kg bw/day,2009 oral: unspecified Rabbit acute toxicity mortality systemic;
Diphenylamine formulation (NoScald DPA 31 EC (ATO BAFBC03)),LD50 >,15000.0 mg/kg bw/day,2012 oral: unspecified Rabbit acute toxicity mortality systemic;
Dipotassium tartrate (E 336(ii)),NOAEL '=,3100.0 mg/kg bw/day,2020 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
Diquat dibromide,LD50 '=,71.0 mg/kg bw/day,2015 oral: unspecified Mallard duck acute toxicity mortality systemic;
Diquat dibromide,LD50 '=,214.0 mg/kg bw/day,2015 Not reported Rat acute toxicity mortality systemic;
Diquat dibromide,NOAEL '=,0.5 mg/kg bw/day,2015 oral: unspecified Dog chronic/long term toxicity body weight systemic;
Diquat dibromide,NOAEL '=,0.2 mg/kg bw/day,2015 Not reported Rat chronic/long term toxicity ophthalmoscopic examination;
Diquat dibromide,NOAEL '=,0.5 mg/kg bw/day,2015 Not reported Mallard duck reproduction toxicity not reported not reported;
Diquat dibromide,NOAEL '=,1.0 mg/kg bw/day,2015 Not reported Rabbit reproduction toxicity body weight reproductive;
Diquat dibromide,NOAEL '=,0.2 mg/kg bw/day,2015 Not reported Rat reproduction toxicity not reported not reported;
Diquat formulation (Diquat 20% SL),LD50 >,20.1 µg/piece,2015 dermal Honey bee acute toxicity mortality;
Diquat formulation (Diquat 20% SL),LD50 '=,50.7 µg/piece,2015 oral: unspecified Honey bee acute toxicity mortality;
Disodium phosphonate,LD50 >,453.7 mg/kg bw,2013 oral: unspecified Rat acute toxicity mortality systemic;
Disodium phosphonate,NOAEL '=,284.7 mg/kg bw/day,2013 Not reported Rat chronic/long term toxicity clinical signs systemic;
Disodium phosphonate,NOAEL '=,252.0 mg/kg bw,2013 Not reported Japanese quail reproduction toxicity not reported not reported;
Disodium phosphonate,NOAEL '=,275.0 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity development teratogenic;
Disodium phosphonate formulation (Mildicut),LD50 >,2250.0 mg/kg bw,2013 oral: unspecified Mallard duck acute toxicity mortality systemic;
Disodium phosphonate formulation (Mildicut),LD50 >,2000.0 mg/kg bw,2013 oral: unspecified Rat acute toxicity mortality systemic;
Disulfoton,NOAEL '=,0.3 mg/kg bw/day,2012 Not reported Rat acute toxicity not reported neurotoxicity;
Dithianon,LD50 '=,309.0 mg/kg bw/day,2010 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Dithianon,LD50 >,25.4 µg/piece,2010 oral: unspecified Honey bee acute toxicity mortality;
Dithianon,LD50 >,2000.0 mg/kg bw/day,2010 oral: unspecified Mallard duck acute toxicity mortality systemic;
Dithianon,LD50 <,500.0 mg/kg bw/day,2010 oral: unspecified Rat acute toxicity mortality systemic;
Dithianon,NOAEL '=,1.6 mg/kg bw/day,2010 oral: unspecified Dog chronic/long term toxicity not reported hepatotoxicity;
Dithianon,NOAEL '=,1.0 mg/kg bw/day,2010 Not reported Rat chronic/long term toxicity histopathology neoplastic nephrotoxicity;
Dithianon,NOAEL '=,25.0 mg/kg bw/day,2010 Not reported Rabbit reproduction toxicity reproduction reproductive;
Dithianon,NOAEL '=,12.0 mg/kg bw/day,2010 oral: unspecified Rat short-term toxicity histopathology non neoplastic nephrotoxicity;
Dithianon,NOAEL '=,12.0 mg/kg bw/day,2010 oral: unspecified Rat short-term toxicity histopathology non neoplastic nephrotoxicity;
Diuron,LD50 '=,2000.0 mg/kg bw,2005 Not reported Rat acute toxicity mortality systemic;
Diuron,LD50 '=,1104.0 mg/kg bw,2005 oral: feed Bobwhite quail short-term toxicity mortality systemic;
Diuron,NOAEL '=,80.0 mg/kg bw/day,2005 Not reported Rat chronic/long term toxicity not reported not reported;
Diuron,NOAEL '=,1.6 mg/kg bw/day,2005 Not reported Rat chronic/long term toxicity haematology hemopoietic;
Diuron,NOAEL '=,0.66 mg/kg bw/day,2005 oral: unspecified Rat chronic/long term toxicity haematology hemopoietic;
DL-Isoborneol,NOAEL '=,15.0 mg/kg bw/day,2016 oral: gavage Rat subchronic organ weights nephrotoxicity;
DL-Isobornyl acetate,NOAEL '=,15.0 mg/kg bw/day,2016 oral: gavage Rat subchronic organ weights nephrotoxicity;
Dodecyldimethylamine,NOAEL '=,50.0 mg/kg bw/day,2007 Not reported Unspecified reproduction toxicity not reported not reported;
Dodecyldimethylamine,NOAEL '=,50.0 mg/kg bw/day,2007 Not reported Rat short-term toxicity mortality systemic;
Dodecyldimethylamine,NOAEL '=,50.0 mg/kg bw/day,2009 oral: feed Rat chronic/long term toxicity not reported not reported;
Dodecyldimethylamine,NOAEL '=,50.0 mg/kg bw/day,2009 Not reported Unspecified reproduction toxicity not reported not reported;
Dodecyldimethylamine,NOAEL '=,50.0 mg/kg bw/day,2009 Not reported Rat short-term toxicity mortality systemic;
Dodecyldimethylamine oxide,NOAEL '=,50.0 mg/kg bw/day,2007 oral: feed Rat chronic/long term toxicity not reported not reported;
Dodemorph acetate,LD50 >,76.6 µg/piece,2008 dermal Honey bee acute toxicity mortality;
Dodemorph acetate,LD50 '=,21.0 mg/kg bw/day,2008 Not reported Rabbit acute toxicity mortality systemic;
Dodemorph acetate,LD50 '=,4100.0 mg/kg bw,2008 Not reported Rat acute toxicity mortality systemic;
Dodemorph acetate,LD50 '=,9.4 mg/kg bw/day,2008 Not reported Bird chronic/long term toxicity mortality systemic;
Dodemorph acetate,NOAEL '=,10.0 mg/kg bw/day,2008 oral: unspecified Dog chronic/long term toxicity body weight systemic;
Dodemorph acetate,NOAEL '=,40.0 mg/kg bw/day,2008 Not reported Rabbit reproduction toxicity development teratogenic;
Dodine,LD50 >,100.0 µg/piece,2010 dermal Honey bee acute toxicity mortality;
Dodine,LD50 '=,857.0 mg/kg bw/day,2010 oral: unspecified Mallard duck acute toxicity mortality systemic;
Dodine,LD50 '=,1354.0 mg/kg bw/day,2010 oral: unspecified Mouse acute toxicity mortality systemic;
Dodine,LD50 '=,981.0 mg/kg bw/day,2010 oral: unspecified Quail acute toxicity mortality systemic;
Dodine,LD50 '=,851.0 mg/kg bw/day,2010 oral: unspecified Rat acute toxicity mortality systemic;
Dodine,NOAEL '=,10.0 mg/kg bw/day,2010 oral: unspecified Dog chronic/long term toxicity body weight systemic;
Dodine,NOAEL '=,10.0 mg/kg bw/day,2010 Not reported Rat reproduction toxicity body weight systemic;
Dodine,NOAEL '=,10.0 mg/kg bw/day,2010 oral: unspecified Dog subchronic body weight systemic;
Dodine,LD50 '=,857.0 mg/kg bw/day,2015 oral: unspecified Mallard duck acute toxicity not reported not reported;
Dodine,LD50 '=,851.0 mg/kg bw/day,2015 Not reported Rat acute toxicity not reported not reported;
Dodine,NOAEL '=,45.0 mg/kg bw/day,2015 Not reported Mammalian cell line chronic/long term toxicity development teratogenic;
Dried whole cell Euglena gracilis,NOAEL '=,3300.0 mg/kg bw/day,2020 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
E-5-Decen-1-yl acetate and E-5-Decen-1-ol mixture,LD50 >,2050.0 mg/kg bw,2014 oral: unspecified Bird acute toxicity mortality systemic;
E-5-Decen-1-yl acetate and E-5-Decen-1-ol mixture,LD50 >,2000.0 mg/kg bw,2014 Not reported Rat acute toxicity mortality systemic;
Ecklonia cava phlorotannins,NOAEL '=,750.0 mg/kg bw/day,2017 oral: gavage Rat subchronic no adverse effect observed;
Emamectin,LD50 '=,0.0027 µg/piece,2012 dermal Honey bee acute toxicity mortality;
Emamectin,LD50 '=,37.0 mg/kg bw/day,2012 oral: unspecified Mallard duck acute toxicity mortality systemic;
Emamectin,LD50 '=,73.0 mg/kg bw/day,2012 oral: unspecified Rat acute toxicity mortality systemic;
Emamectin,NOAEL '=,5.0 mg/kg bw/day,2012 oral: unspecified Rat acute toxicity clinical signs neurotoxicity;
Emamectin,NOAEL '=,0.25 mg/kg bw/day,2012 oral: unspecified Dog chronic/long term toxicity clinical signs neurotoxicity;
Emamectin,NOAEL '=,0.25 mg/kg bw/day,2012 Not reported Rat chronic/long term toxicity clinical signs neurotoxicity;
Emamectin,NOAEL '=,0.6 mg/kg bw/day,2012 Not reported Rat reproduction toxicity body weight systemic;
Emamectin,NOAEL '=,0.25 mg/kg bw/day,2012 oral: unspecified Dog subchronic clinical signs neurotoxicity;
Endosulfan,NOAEL '=,0.8 mg/kg bw/day,2005 oral: feed Dog chronic/long term toxicity neurology neurotoxicity;
Endosulfan,NOAEL '=,0.6 mg/kg bw/day,2005 Not reported Rat chronic/long term toxicity not reported not reported;
Endosulfan,NOAEL '=,1.1 mg/kg bw/day,2005 oral: feed Cattle subchronic clinical signs systemic;
Endosulfan,NOAEL '=,1.5 mg/kg bw/day,2012 Not reported Rat acute toxicity not reported neurotoxicity;
Endrin,NOAEL '=,1.0 mg/kg,2005 oral: feed Dog chronic/long term toxicity organ weights systemic;
Endrin,NOAEL '=,1.0 mg/kg,2005 oral: feed Chicken subchronic mortality systemic;
Endrin,NOAEL '=,0.5 mg/kg,2005 oral: feed Mallard duck subchronic mortality teratogenic;
Epoxiconazole,LD50 >,2000.0 mg/kg bw,2008 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Epoxiconazole,LD50 >,83.0 µg/piece,2008 oral: unspecified Honey bee acute toxicity mortality;
Epoxiconazole,LD50 '=,3160.0 mg/kg bw,2008 oral: unspecified Rat acute toxicity mortality systemic;
Epoxiconazole,LD50 >,907.0 mg/kg bw,2008 oral: feed Bobwhite quail short-term toxicity mortality systemic;
Epoxiconazole,LD50 >,5000.0 mg/kg,2008 oral: feed Bobwhite quail short-term toxicity mortality systemic;
Epoxiconazole,NOAEL '=,1.6 mg/kg bw/day,2008 oral: unspecified Dog chronic/long term toxicity clinical chemistry systemic;
Epoxiconazole,NOAEL '=,0.8 mg/kg bw/day,2008 Not reported Mouse chronic/long term toxicity histopathology neoplastic hepatotoxicity;
Epoxiconazole,NOAEL '=,2.3 mg/kg bw/day,2008 Not reported Rat reproduction toxicity reproduction reproductive;
Epoxiconazole,NOAEL '=,0.8 mg/kg bw/day,2009 Not reported Mouse chronic/long term toxicity organ weights hepatotoxicity;
Epoxiconazole,NOAEL '=,2.3 mg/kg bw/day,2009 Not reported Rat reproduction toxicity reproduction reproductive;
Epoxiconazole,LD50 >,2000.0 mg/kg bw,2015 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Epoxiconazole,LD50 '=,3160.0 mg/kg bw,2015 Not reported Rat acute toxicity mortality systemic;
Epoxiconazole,LD50 >,907.0 mg/kg bw,2015 oral: feed Bobwhite quail short-term toxicity mortality systemic;
Epoxiconazole,NOAEL '=,2.3 mg/kg bw,2015 Not reported Rat reproduction toxicity not reported reproductive;
Epoxidised soybean oil,NOAEL '=,140.0 mg/kg bw/day,2004 oral: feed Rat chronic/long term toxicity organ weights systemic;
Erucic acid,NOAEL '=,0.7 g/kg bw/day,2016 Not reported Pig short-term toxicity histopathology non neoplastic pulmonary and cardiac;
Erucic acid,NOAEL '=,0.7 g/kg bw/day,2016 oral: feed Rat short-term toxicity histopathology non neoplastic pulmonary and cardiac;
Erythorbic acid,NOAEL '=,650.0 mg/kg bw/day,2016 oral: drinking water Rat chronic/long term toxicity body weight systemic;
Erythritol,NOAEL '=,0.71 g/kg bw/day,2010 oral: drinking water Human study with volunteers clinical signs systemic;
Erythritol,NOAEL '=,0.71 g/kg bw/day,2013 oral: drinking water Human study with volunteers clinical signs systemic;
Erythritol,NOAEL '=,0.71 g/kg bw/day,2015 oral: drinking water Human study with volunteers clinical signs systemic;
Erythrosine,NOAEL '=,1.0 mg/kg bw/day,2011 oral: capsule Human study with volunteers clinical chemistry endocrine;
Erythrosine,NOAEL '=,10.0 g/kg,2011 oral: feed Dog chronic/long term toxicity clinical chemistry endocrine;
Erythrosine,NOAEL '=,125.0 mg/kg bw,2011 oral: feed Rat not reported other endocrine;
Esfenvalerate,LD50 '=,1312.0 mg/kg bw/day,2014 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Esfenvalerate,LD50 '=,0.06 µg/piece,2014 dermal Honey bee acute toxicity mortality;
Esfenvalerate,LD50 '=,88.5 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
Esfenvalerate,NOAEL '=,1.75 mg/kg bw,2014 Not reported Rat acute toxicity clinical signs neurotoxicity;
Esfenvalerate,NOAEL '=,1.75 mg/kg bw/day,2014 Not reported Rat chronic/long term toxicity clinical signs neurotoxicity;
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw.,NOAEL '=,200.0 mg/kg bw/day,2019 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
Ethametsulfuron methyl,LD50 '=,2250.0 mg/kg bw/day,2014 oral: unspecified Bobwhite quail acute toxicity mortality systemic;
Ethametsulfuron methyl,LD50 '=,4.62 µg/piece,2014 dermal Honey bee acute toxicity mortality;
Ethametsulfuron methyl,LD50 '=,40.83 µg/piece,2014 oral: unspecified Honey bee acute toxicity mortality;
Ethametsulfuron methyl,LD50 >,5000.0 mg/kg bw/day,2014 oral: unspecified Rat acute toxicity mortality systemic;
